
2025/01/28 (08:32:51) | ===> btop++ v.1.4.0
2025/01/28 (08:32:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (13:14:01) | ===> btop++ v.1.4.0
2025/01/28 (13:14:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (11:43:39) | ===> btop++ v.1.4.0
2025/01/29 (11:43:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (12:02:11) | ===> btop++ v.1.4.0
2025/01/29 (12:02:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (12:02:57) | ===> btop++ v.1.4.0
2025/01/29 (12:02:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (19:42:40) | ===> btop++ v.1.4.0
2025/01/29 (19:42:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (17:49:28) | ===> btop++ v.1.4.0
2025/02/01 (17:49:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (12:23:05) | ===> btop++ v.1.4.0
2025/02/02 (12:23:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (10:17:53) | ===> btop++ v.1.4.0
2025/02/03 (10:17:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (15:22:17) | ===> btop++ v.1.4.0
2025/02/03 (15:22:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (20:22:55) | ===> btop++ v.1.4.0
2025/02/03 (20:22:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (20:23:45) | ===> btop++ v.1.4.0
2025/02/03 (20:23:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/03 (20:24:01) | ERROR: Stall in Runner thread, restarting!

2025/02/03 (20:24:30) | ===> btop++ v.1.4.0
2025/02/03 (20:24:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (14:13:47) | ===> btop++ v.1.4.0
2025/02/04 (14:13:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (21:34:25) | ===> btop++ v.1.4.0
2025/02/04 (21:34:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (21:36:47) | ===> btop++ v.1.4.0
2025/02/04 (21:36:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (21:37:41) | ===> btop++ v.1.4.0
2025/02/04 (21:37:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (08:00:14) | ===> btop++ v.1.4.0
2025/02/07 (08:00:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (09:46:57) | ===> btop++ v.1.4.0
2025/02/07 (09:46:57) | WARNING: Intel GPU: Failed to initialize PMU

